"DR" "ES"
"Abeomelomys_sevia" 0.11012008394917 9.0809956198507
"Abrocoma_bennettii" 0.0973217019474001 10.2752004947517
"Abrocoma_boliviensis" 0.0653601350325557 15.2998459917793
"Abrocoma_budini" 0.0409981693770068 24.391332959389
"Abrocoma_cinerea" 0.0829883443619747 12.0498849288793
"Abrocoma_famatina" 0.0653979245701888 15.291005128561
"Abrocoma_shistacea" 0.0653979245701888 15.291005128561
"Abrocoma_uspallata" 0.0973217019474001 10.2752004947517
"Abrocoma_vaccarum" 0.0653601350325557 15.2998459917793
"Abrothrix_andinus" 0.1426037013845 7.01244070309029
"Abrothrix_hershkovitzi" 0.106378929674276 9.40035778759872
"Abrothrix_illuteus" 0.196877703359012 5.07929533379648
"Abrothrix_jelskii" 0.1426037013845 7.01244070309029
"Abrothrix_lanosus" 0.156046975945168 6.40832668459645
"Abrothrix_longipilis" 0.156046975945168 6.40832668459645
"Abrothrix_markhami" 0.139157013579192 7.18612719746902
"Abrothrix_olivaceus" 0.139157013579192 7.18612719746902
"Abrothrix_sanborni" 0.122059716515463 8.19271114621435
"Acerodon_celebensis" 0.164679877931514 6.07238730414821
"Acerodon_humilis" 0.155267324566897 6.4405051274594
"Acerodon_jubatus" 0.164679877931514 6.07238730414821
"Acerodon_leucotis" 0.192314031097243 5.19982860478002
"Acerodon_mackloti" 0.192314031097243 5.19982860478002
"Acinonyx_jubatus" 0.0694324905397933 14.4024791884266
"Acomys_cahirinus" 0.168934463068084 5.91945528365625
"Acomys_chudeaui" 0.214674913597482 4.6582061370944
"Acomys_cilicicus" 0.189845723050028 5.26743496737337
"Acomys_cineraceus" 0.218614989598288 4.5742517557352
"Acomys_dimidiatus" 0.214674913597482 4.6582061370944
"Acomys_ignitus" 0.252245047017967 3.96439895182074
"Acomys_johannis" 0.218614989598288 4.5742517557352
"Acomys_kempi" 0.234754683304617 4.25976592212392
"Acomys_louisae" 0.252961785256432 3.95316628156415
"Acomys_minous" 0.2776100694719 3.60217481268713
"Acomys_mullah" 0.252961785256432 3.95316628156415
"Acomys_nesiotes" 0.2776100694719 3.60217481268713
"Acomys_percivali" 0.214475690881226 4.6625330632635
"Acomys_russatus" 0.292873360537631 3.41444506309583
"Acomys_seurati" 0.189845723050028 5.26743496737337
"Acomys_spinosissimus" 0.292873360537631 3.41444506309583
"Acomys_subspinosus" 0.180988411044994 5.52521564351101
"Acomys_wilsoni" 0.252245047017967 3.96439895182074
"Aconaemys_fuscus" 0.140740711838292 7.10526461702833
"Aconaemys_porteri" 0.127082983525805 7.86887411875204
"Aconaemys_sagei" 0.140740711838292 7.10526461702833
"Acrobates_pygmaeus" 0.0324032092420854 30.86114071384
"Addax_nasomaculatus" 0.158434118907375 6.31177177552663
"Aegialomys_galapagoensis" 0.280439420625209 3.56583249876429
"Aegialomys_xanthaeolus" 0.280439420625209 3.56583249876429
"Aepeomys_lugens" 0.0973382352463529 10.273455209755
"Aepeomys_reigi" 0.0666676311202252 14.9997830010886
"Aepyceros_melampus" 0.0508657837213799 19.6595810943866
"Aepyprymnus_rufescens" 0.057246451270449 17.4683317097807
"Aeretes_melanopterus" 0.100474935917293 9.95273090617505
"Aeromys_tephromelas" 0.109570117295957 9.1265759741675
"Aeromys_thomasi" 0.109570117295957 9.1265759741675
"Aethalops_aequalis" 0.0833565237972894 11.9966615022461
"Aethalops_alecto" 0.0833565237972894 11.9966615022461
"Aethomys_bocagei" 0.133569162985507 7.486758003481
"Aethomys_chrysophilus" 0.147989051917967 6.75725661486311
"Aethomys_granti" 0.133569162985507 7.486758003481
"Aethomys_hindei" 0.17353097859659 5.76265983219466
"Aethomys_ineptus" 0.147989051917967 6.75725661486311
"Aethomys_kaiseri" 0.153259716505461 6.52487178497662
"Aethomys_nyikae" 0.170600616400266 5.86164353388844
"Aethomys_silindensis" 0.15774489235534 6.33934947159732
"Aethomys_stannarius" 0.17353097859659 5.76265983219466
"Aethomys_thomasi" 0.170600616400266 5.86164353388844
"Ailuropoda_melanoleuca" 0.0385788358900789 25.9209480257325
"Ailurops_melanotis" 0.0508652429272958 19.6597901130512
"Ailurops_ursinus" 0.0658327984459098 15.1899968345054
"Ailurus_fulgens" 0.0293969069033382 34.0171843006532
"Akodon_aerosus" 0.162595871713182 6.15021764983059
"Akodon_affinis" 0.29436771501989 3.39711167011787
"Akodon_albiventer" 0.29436771501989 3.39711167011787
"Akodon_aliquantulus" 0.184227933487362 5.42805849835254
"Akodon_azarae" 0.268821451943498 3.71994122035389
"Akodon_bogotensis" 0.184227933487362 5.42805849835254
"Akodon_boliviensis" 0.313438690127929 3.19041659978816
"Akodon_budini" 0.224203860472098 4.46022650053543
"Akodon_cursor" 0.308141341456014 3.24526399240962
"Akodon_dayi" 0.478819728915752 2.08846866494916
"Akodon_dolores" 0.56705037122893 1.76351176321914
"Akodon_fumeus" 0.327146116544936 3.05673810394335
"Akodon_iniscatus" 0.257560812136652 3.88257822183538
"Akodon_juninensis" 0.313438690127929 3.19041659978816
"Akodon_kofordi" 0.333935917924277 2.99458652491153
"Akodon_latebricola" 0.192103110019344 5.20553779633919
"Akodon_leucolimnaeus" 0.236879652259017 4.22155297199839
"Akodon_lindberghi" 0.312719222987942 3.1977567302876
"Akodon_lutescens" 0.238746285861538 4.18854683494408
"Akodon_mimus" 0.186456590331354 5.36317862631129
"Akodon_molinae" 0.490046321018395 2.04062342090813
"Akodon_mollis" 0.380593247371803 2.62747698995063
"Akodon_montensis" 0.308141341456014 3.24526399240962
