"","taxon","node","MCC_height","richness","heightMedian","heightMean","height_95._HPD_MIN","height_95._HPD_MAX"
"418","Eudorcas",6697,3.56683261653995,4,1.61,1.93,0.37,4.19
"419","Eulemur",8463,3.67084998499993,12,3.62,3.64,2.57,4.69
"420","Eumops",7249,8.82901767129999,14,8.94,9.05,6.9,11.21
"421","Euneomys",10805,4.68913378549996,4,7.36,7.42,5.22,9.6
"422","Euoticus",8426,1.49285431699997,2,1.41,2.57,0.01,9.03
"423","Euroscaptor",5947,8.83660198659999,7,9.16,9.29,6.84,11.7
"424","Euryoryzomys",11007,8.82991672583995,6,8.42,8.42,6.7,9.98
"425","Exilisciurus",8901,7.42314582799995,3,8.03,8.22,4.58,12.28
"426","Falsistrellus",7391,5.06797779680994,5,3.76,3.73,1.03,6.38
"427","Felis",6889,2.17188950999997,6,2.35,2.41,1.45,3.51
"428","Fukomys",9202,5.72797873299999,14,4.55,4.84,2.89,7.84
"429","Funambulus",8896,7.08662438299996,5,7.95,8.63,3.74,15.85
"430","Funisciurus",8968,16.7614768711,10,15.29,15.36,12.32,18.53
"431","Galago",8414,2.08989840299998,4,3.05,3.09,1.86,4.42
"432","Galagoides",8410,10.496670029,8,9.78,9.88,7.72,12.16
"433","Galea",9240,16.7767003971999,4,8.29,8.64,5.05,13.05
"434","Galictis",7027,2.74873125509993,2,3.3,3.33,2.19,4.66
"435","Galidictis",6829,0.0558301706999487,2,0.9,1.08,0.01,2.62
"436","Gazella",6701,2.29699988282997,10,2.49,2.55,1.74,3.46
"437","Genetta",6807,2.93332547899993,14,2.9,3.14,1.78,4.73
"438","Geocapromys",9376,3.37978321299994,4,2.43,2.75,0.84,5.59
"439","Geomys",11177,6.48321003099994,10,5.86,5.91,4.21,7.55
"440","Gerbilliscus",9602,14.175040011,12,14.27,14.33,12.09,16.8
"441","Gerbillurus",9602,14.175040011,4,14.27,14.33,12.09,16.8
"442","Gerbillus",9552,9.92063031599994,48,9.94,10,8.16,11.84
"443","Glaucomys",9148,2.37708153999998,2,1.98,2.02,1,3.13
"444","Glauconycteris",7292,21.198257942,12,22.46,22.69,19.03,26.47
"445","Glischropus",7339,4.68534568410001,4,4.03,4.37,0.67,8.61
"446","Globicephala",6531,0.661905025319953,2,0.4,0.43,0.04,0.79
"447","Glossophaga",7941,6.82705488810004,5,6.39,6.46,4.76,8.29
"448","Glyphonycteris",7819,10.6952033218001,3,10.96,11.05,8.16,14
"449","Gorilla",8730,0.853372420999989,2,1.1,1.14,0.53,1.84
"450","Gracilinanus",11521,13.894128278,7,12.25,12.4,9.07,15.68
"451","Grammomys",9955,8.08727815389994,12,8.12,8.86,5.74,13.68
"452","Graomys",10834,2.34854931159995,4,3.06,3.51,1.58,7.55
"453","Graphiurus",8873,23.809046111,15,13.76,14.17,4.59,24.74
"454","Habromys",10566,6.21253825400001,7,7.9,7.8,7.58,8.33
"455","Hadromys",10133,1.35355780679996,2,0.94,1.59,0,5.32
"456","Haeromys",9686,2.16445529349994,3,2.17,2.9,0.15,7.57
"457","Handleyomys",10968,10.87681538534,9,10.16,10.19,7.66,12.82
"458","Hapalemur",8459,3.70741960389992,5,3.47,3.51,2.37,4.83
"459","Hapalomys",10263,1.49197585779993,2,0.97,1.72,0,6.11
"460","Harpiocephalus",7578,0.504947880699973,2,0.63,0.68,0.07,1.33
"461","Harpiola",7619,0.311313302879967,2,1.5,2.55,0.01,8.87
"462","Harpyionycteris",8192,4.02484923900002,2,3.41,3.48,1.99,5.1
"463","Heliosciurus",8979,9.85622694409997,6,8.06,8.3,4.3,12.73
"464","Helogale",6865,2.94412480499997,2,3.22,3.26,1.87,4.68
"465","Hemicentetes",11439,3.29350166399999,2,4.43,5.86,0.04,15.86
"466","Hemiechinus",6407,2.05430150499996,2,1.22,1.45,0.01,3.58
"467","Herpestes",6834,5.12060795199994,14,6.11,6.17,4.85,7.62
"468","Hesperoptenus",7293,18.70096289,5,18.87,18.87,18.7,19.04
"469","Heteromys",11212,6.18660268499994,10,5.62,5.67,4.17,7.36
"470","Hippidion",6416,0.283411713999982,2,0.27,0.3,0.02,0.63
"471","Hippocamelus",6614,4.30414306629996,2,3.06,3.07,1.8,4.16
"472","Hippopotamus",6468,2.39697486099993,3,2.32,2.53,0.1,5.43
"473","Hipposideros",8102,21.584164961,73,21.69,21.88,17.99,26.45
"474","Hippotragus",6778,4.11216391599996,3,4.51,4.53,2.83,6.3
"475","Histiotus",7455,1.54350951909998,7,3.04,3.17,0.88,5.61
"476","Holochilus",10951,4.45502967943997,4,5.34,5.42,3.88,7.16
"477","Homo",8727,0.491771101999973,4,0.88,0.9,0.42,1.36
"478","Hoolock",8721,0.930935843999976,2,0.9,0.92,0.24,1.57
"479","Hsunycteris",7931,4.13091471480007,3,4.27,4.31,2.76,5.85
"480","Hyaena",6867,1.16946651199996,2,2.15,2.19,1.08,3.33
"481","Hybomys",9898,4.26565084019998,6,7.65,7.71,4.56,11.2
"482","Hydrochoerus",9237,1.28620408299997,2,1.92,2.7,0.02,7.72
"483","Hydromys",10160,1.59556398429996,4,1.57,1.59,0.38,2.72
"484","Hylaeamys",10978,8.71421085683994,7,8.59,8.64,6.83,10.56
"485","Hylobates",8708,1.96698019199997,7,2.45,2.48,1.67,3.35
"486","Hylomys",6389,40.347388703,3,34.33,34.44,28.49,40.38
"487","Hylomyscus",10058,9.04423966139993,15,10.31,10.33,8.36,12.29
"488","Hylopetes",9126,10.0209291399,9,8.82,8.85,6.91,10.96
"489","Hyomys",10120,0.125534682499989,2,1.45,2.43,0.01,8.36
"490","Hyosciurus",8928,1.07231230059998,2,1.53,2.1,0.02,5.93
"491","Hyperacrius",10416,5.43900043439996,2,1.74,2.33,0.01,6.4
"492","Hyperoodon",6502,4.67299437929992,2,2.37,2.42,0.81,4.1
"493","Hypsugo",7375,3.7701340006,4,4.42,4.48,2.66,6.55
"494","Hystrix",9187,3.75257435849994,8,4.31,4.42,2.5,6.49
"495","Ichthyomys",10638,6.10175177289997,4,3.09,3.74,0.32,9.4
"496","Ictidomys",9051,2.91976461989995,3,2.06,2.09,1.1,3.21
"497","Ictonyx",7030,4.06581100669993,2,5.02,5.07,3.51,6.73
"498","Idiurus",9488,0.932727135999983,2,4.57,6.13,0.04,16.66
"499","Inia",6558,3.04798500939995,3,1.7,1.75,0.75,2.73
"500","Iomys",9146,0.847625488999995,2,1.75,2.6,0.01,7.81
"501","Isolobodon",9374,1.72076908999995,2,0.75,1.24,0,4.01
"502","Isoodon",11584,4.34331903900002,3,3.54,3.57,2.08,5.17
"503","Isothrix",9285,7.22938289099994,6,5.32,5.35,3.54,7.28
"504","Isthmomys",10519,0.836148066999982,2,2.5,3.77,0.03,11.78
"505","Jaculus",11115,3.24903671099992,3,2.61,2.64,1.24,4
"506","Juliomys",10827,5.94767585089994,3,5.77,5.81,4.09,7.76
"507","Juscelinomys",10664,3.90196629079995,3,2.34,2.52,0.1,4.95
"508","Kerivoula",7549,14.6505246117,22,15.7,15.82,12.44,19.05
"509","Kerodon",9236,4.05802708999997,2,3.79,3.86,1.87,5.83
"510","Kobus",6674,4.07126845049996,5,4.18,4.21,2.82,5.69
"511","Kogia",6492,3.23898986579994,2,3.55,3.6,1.9,5.42
"512","Kunsia",10733,6.39171136819994,2,1.82,2.51,0.02,7.13
"513","Laephotis",7370,1.49105288729999,4,1.57,1.77,0.63,3.67
"514","Lagenorhynchus",6521,4.99676233149995,6,5.46,5.51,4.08,7.02
"515","Lagidium",9274,3.59773093399994,4,3.7,3.77,2.23,5.49
"516","Lagorchestes",11778,7.96849610019999,4,5.77,5.89,3.98,8.33
"517","Lagostomus",9272,1.64728778399996,2,1.96,3.38,0.01,11.55
"518","Lagothrix",8687,0.520935299999962,4,1.16,1.33,0.24,2.89
"519","Lama",6441,0.368471047999975,2,0.93,0.95,0.36,1.62
"520","Lariscus",8904,5.77042238899995,4,5.6,6.25,0.39,13.45
"521","Lasiopodomys",10382,5.53720260499995,2,4.09,4.13,2.7,5.56
"522","Lasiorhinus",11680,1.19272366899997,2,1.63,1.69,0.51,2.96
"523","Lasiurus",7509,15.6149862526999,16,13.63,13.84,10.84,17.46
"524","Leggadina",10204,0.987754586399944,2,2.21,2.28,0.95,3.8
"525","Lemmus",10312,10.9904703142,5,9.35,9.4,7.18,11.66
"526","Lemniscomys",9919,7.80719514509997,11,7.62,7.66,5.95,9.22
"527","Leontocebus",8616,1.67542547399998,9,2.16,2.2,1.44,3.06
"528","Leontopithecus",8647,2.927629728,4,2.2,2.98,0.17,8.28
"529","Leopardus",6879,1.74886943389996,7,2.14,2.21,1.04,3.48
"530","Leopoldamys",9732,4.29304468769996,6,5.6,5.64,4.17,7.11
"531","Lepilemur",8479,6.30746506999995,26,7.75,8.2,5.36,12.95
"532","Leporillus",10207,0.780579894299962,2,1.45,1.99,0.01,5.67
"533","Leptomys",10156,3.84956552439996,3,2.61,3.1,0.25,7.12
"534","Leptonycteris",7939,5.43442934510003,3,5.46,5.53,3.67,7.49
"535","Lepus",11284,14.70935984,32,14.08,14.18,11.54,16.99
"536","Limnomys",9850,2.82959034169994,2,2.43,2.47,1.46,3.49
"537","Liomys",11207,13.867919931,5,11.7,11.78,9.14,14.8
"538","Lissodelphis",6485,0.771614555899987,2,0.32,0.35,0.03,0.71
"539","Lonchophylla",7917,9.34071969580009,14,11.19,11.28,8.89,13.81
"540","Lonchorhina",7782,22.5149231600001,5,22.63,22.69,19.03,26.56
"541","Lontra",7034,2.37731472969995,4,2.89,2.92,1.9,4
"542","Lophocebus",8811,6.48746916499996,2,6.56,6.56,5.19,8
"543","Lophostoma",7789,7.56667101780008,8,8.32,8.55,5.86,11.8
"544","Lophuromys",9640,19.2690609717,23,14.82,15.92,9.66,25.47
"545","Loris",8407,0.906240182999966,2,1.07,1.09,0.38,1.71
"546","Loxodontomys",10849,1.00687944752994,2,1.78,2.39,0.03,6.43
"547","Lutra",7038,4.69900538999994,3,5.46,5.49,4,6.99
"548","Lutreolina",11558,1.31458721499993,2,1.18,1.23,0.33,2.25
"549","Lynx",6895,3.07025885069996,4,3.19,3.22,2.22,4.25
"550","Macaca",8789,6.29016538199997,23,5.22,5.23,4.09,6.37
"551","Macroglossus",8189,0.739742035999996,2,2.1,2.13,0.99,3.35
"552","Macropus",11764,8.93531512419997,14,6.87,6.95,5.38,8.9
"553","Macroscelides",11396,13.4495989676,3,14.65,14.94,8.32,23.15
"554","Macrotarsomys",11072,20.865750956,3,26.03,26.2,19.85,33.38
"555","Macrotis",11580,3.97660034999998,2,3.75,6.12,0.02,20.86
"556","Macrotus",7982,12.167180083,2,9.9,9.99,6.75,13.32
"557","Macruromys",10112,0.393360684599969,2,1.58,2.7,0.02,9.51
"558","Madoqua",6688,4.32595949009993,4,4.53,4.56,2.92,6.24
"559","Makalata",9320,5.28562359859995,3,5.12,5.29,2.77,7.86
"560","Malacomys",10096,11.0323730615,3,9.18,9.35,6.11,12.77
"561","Mallomys",10137,5.88970681279997,4,4.21,4.7,0.38,9.88
"562","Mammelomys",10140,7.90315046729995,2,1.48,2.37,0.01,7.89
"563","Mammuthus",11380,0.557404638699978,2,0.99,1.1,0.13,2.29
"564","Mandrillus",8819,2.60247406099995,2,2.73,2.75,1.82,3.68
"565","Manis",7083,13.418841454,4,12.1,13.07,0.68,26.61
"566","Margaretamys",9756,4.72385116699994,4,4.49,5.01,0.55,10.37
"567","Marmosa",11499,23.786713689,15,19.1,19.17,15.24,23.12
"568","Marmosops",11540,22.566632034,16,18.47,18.67,14.12,23.46
"569","Marmota",9063,4.96662014799998,14,4.26,4.32,3.2,5.63
"570","Martes",7063,6.01438264919994,8,7.36,7.43,5.78,9.25
"571","Mastomys",10022,13.6396380243999,8,13.59,13.67,11.78,15.85
"572","Maxomys",9694,12.7800370559999,18,11.74,11.84,9.65,13.9
"573","Mazama",6609,7.09734375749994,10,6.13,6.14,4.51,7.7
"574","Megaderma",8000,13.278967731,2,15.17,15.25,11.42,18.79
"575","Megadontomys",10578,4.60702872179996,3,3.93,3.96,2.69,5.33
"576","Megaerops",8347,5.79039949369999,4,5.76,5.82,4.24,7.43
"577","Megaloglossus",8323,0.723648217999994,2,1.1,1.13,0.29,1.93
"578","Megalomys",10966,0.926783383839961,2,1.03,1.68,0.01,5.67
"579","Melanomys",10929,0.594664287239965,3,1.48,1.53,0.17,2.92
"580","Meles",7015,2.02620279629997,3,2.77,2.81,1.79,3.95
"581","Melogale",7020,2.98314446219996,5,4.22,4.7,1.88,9.22
"582","Melomys",10221,5.56868128329998,22,6.24,6.41,4.68,8.78
"583","Melonycteris",8234,9.63770303750002,3,8.98,9.1,6.39,11.75
"584","Mephitis",7077,2.58013391099999,2,2.78,2.87,1.22,4.67
"585","Meriones",9522,12.422994325,17,12.88,12.94,10.4,15.68
"586","Mesechinus",6406,2.15924158499996,2,2.5,2.54,1.11,3.95
"587","Mesembriomys",10210,1.35191593479993,2,1.17,1.59,0.01,4.43
"588","Mesocapromys",9388,1.72756742629994,5,1.41,1.48,0.62,2.48
"589","Mesocricetus",10464,5.48318723399998,4,4.8,4.86,3.41,6.44
"590","Mesomys",9324,4.03925777649997,4,4.34,4.46,2.42,6.44
"591","Mesoplodon",6471,17.6869883919999,14,17.34,17.44,13.64,21.42
"592","Mico",8626,4.274943976,14,5.37,5.52,3.85,7.59
"593","Microcavia",9244,5.11543085699995,3,5.65,5.84,2.71,9.07
"594","Microcebus",8513,5.80754419399995,21,5.79,5.88,4.25,7.48
"595","Microdipodops",11142,6.72796261599993,2,7.35,7.42,5,10.15
"596","Microgale",11413,23.342258333,22,28.09,28.45,19.78,38.01
"597","Microhydromys",9909,3.04617147189998,2,1.07,1.77,0.01,5.9
"598","Micronycteris",7967,10.0877549160001,11,11.82,11.93,9.23,14.83
"599","Microperoryctes",11591,7.10117262,4,4.08,4.54,1.86,8.39
"600","Micropotamogale",11410,4.53159274099997,2,4.9,6.89,0.06,19.52
"601","Micropteropus",8334,0.330667857299972,2,0.15,0.18,0,0.43
"602","Microryzomys",10898,2.14043724413995,2,1.05,1.35,0.01,3.58
"603","Microsciurus",9090,9.82901028290001,4,8.82,8.89,6.92,11.18
"604","Microtus",10325,10.4325288431,64,9.54,9.55,8.15,11.03
"605","Millardia",9974,6.91531889139992,4,9.2,9.46,6.19,13.19
"606","Mimon",7787,19.3490997378001,4,17.87,17.85,15.01,21.15
"607","Miniopterus",7734,11.076557144,32,9.78,10.81,6.41,18.51
"608","Miopithecus",8854,1.25583309559994,2,1.92,1.95,1.03,2.9
"609","Mirounga",6983,0.940391273999921,2,1.14,1.18,0.57,1.9
"610","Mirza",8512,1.15190756899995,2,1.06,1.1,0.46,1.8
"611","Mirzamys",9731,0.971835437699951,2,1.16,1.87,0.01,6.19
"612","Mogera",5955,6.08458008059998,8,5.65,5.72,3.79,7.74
"613","Molossops",7236,7.68642257689996,4,8.89,8.97,6.97,11.23
"614","Molossus",7178,16.180201905,9,18.65,18.95,14.46,23.43
"615","Monodelphis",11475,18.067566331,24,15.36,15.6,12.05,19.23
"616","Monophyllus",7945,5.83043042510005,2,4.6,4.65,2.78,6.64
"617","Mops",7183,8.85519662584997,16,7.12,7.24,5.23,9.43
"618","Mormoops",7983,13.636977239,2,11.13,11.23,7.43,14.93
"619","Mormopterus",7178,16.180201905,14,18.65,18.95,14.46,23.43
"620","Moschiola",6562,2.63292509499993,3,2.72,4.13,0.4,13.43
"621","Moschus",6631,3.92472081899993,7,3.67,3.99,1.54,6.71
"622","Mungos",6859,4.82284045561997,2,1.3,1.73,0.01,4.69
"623","Muntiacus",6577,2.75490565969994,13,3.55,3.77,1.96,6.08
"624","Murexia",11660,11.9053974639,5,10.85,10.9,8.23,13.45
"625","Murina",7583,13.2682655528999,35,12.89,12.95,10.63,15.53
"626","Mus",9982,14.4933525723999,39,15.41,15.51,12.94,18.07
"627","Musseromys",9666,4.97642051499994,4,4.14,4.55,0.48,9.75
"628","Mustela",7044,6.47699176939994,17,7.65,7.72,6.17,9.23
"629","Mydaus",7081,4.31222422099998,2,4.37,4.46,1.88,7.12
"630","Mylomys",9916,3.13489884319998,2,1.19,1.9,0,6.18
"631","Myodes",10417,6.04964213739996,11,6.92,6.94,5.65,8.24
"632","Myoictis",11650,6.23272380460003,4,4.56,4.63,2.83,6.56
"633","Myomimus",8866,4.16347064849995,3,2.49,3.47,0.05,9.91
"634","Myomyscus",10023,12.7097888755,4,12.24,12.31,10.63,14.16
"635","Myonycteris",8319,2.93821626900001,4,2.97,3.02,1.95,4.23
"636","Myoprocta",9222,4.75271210899996,2,3.75,3.8,1.99,5.74
"637","Myopterus",7177,1.72621332379995,2,1.14,2.27,0.01,8.3
"638","Myosorex",5972,15.010698852,19,14.56,15.2,9.69,23.44
"639","Myospalax",9504,8.05044458299997,3,4.19,4.8,1.72,10.16
"640","Myotis",7621,14.101270726,114,13.45,13.52,11.04,16.31
"641","Mysateles",9385,1.19719096659995,4,1.61,1.65,0.33,2.99
"642","Mystacina",7990,2.70307470100002,2,3.47,6.67,0.01,25.39
"643","Myzopoda",7766,0.504078499999991,2,0.65,0.69,0.18,1.32
"644","Naemorhedus",6737,2.7222345591,4,3.3,3.34,2.3,4.53
"645","Nanger",6694,2.23462778733997,3,1.99,2.02,0.99,3.01
"646","Nasua",7006,3.16766933429997,2,3.7,3.74,2.57,5.07
"647","Nasuella",7008,1.95484877089999,2,1.57,1.61,0.65,2.64
"648","Natalus",7164,2.71762957299998,9,3.58,4.24,1.65,8.42
"649","Neacomys",10889,10.89840117714,8,10.03,10.1,8.31,12.11
"650","Neamblysomus",11456,1.40686419719995,2,1.07,1.19,0.19,2.51
"651","Necromys",10670,7.09968155139993,9,6.89,6.92,5.49,8.29
"652","Nectomys",10946,3.93202215023996,5,3.55,3.82,1.99,6.57
"653","Nelsonia",10493,1.365846807,2,1.03,1.6,0,5.13
"654","Neodon",10383,8.65915354109995,6,8.05,8.08,6.78,9.24
"655","Neofelis",6910,1.00272706799996,2,1.44,1.49,0.46,2.54
"656","Neomonachus",6980,4.61725178999993,2,4.95,5.01,3.65,6.5
"657","Neomys",6231,9.01181979179998,3,7.53,7.54,4.91,10.26
"658","Neophocaena",6520,0.187674437499965,2,0.19,0.22,0.01,0.49
"659","Neoromicia",7362,11.3427606283,15,11.72,11.79,9.39,14.17
"660","Neotoma",10470,8.49562580599996,22,9.24,9.31,7.28,11.26
"661","Neotragus",6666,12.5544890897,2,13.51,13.57,11.38,15.75
"662","Neovison",7061,1.20683315339994,2,1.15,1.45,0.01,3.87
"663","Nephelomys",10984,7.27725133583996,7,7.26,7.34,5.29,9.64
"664","Nesokia",9852,0.448354575499934,2,0.77,0.99,0.01,2.64
"665","Nesolagus",11282,0.222156722999955,2,1.14,2.26,0.01,8.2
"666","Nesomys",11079,7.80071666159998,3,6.45,6.76,2.89,11.27
"667","Nesophontes",6262,24.515263314,6,6.4,8.3,0.92,20.64
"668","Nesoryzomys",10933,3.69955387723996,5,3.92,3.96,2.62,5.29
"669","Neusticomys",10625,3.12250079989994,6,4.51,4.71,1,8.67
"670","Ningaui",11625,15.870693075,3,13.3,13.34,9.98,16.95
"671","Niviventer",9738,7.80082918339994,16,8.28,8.3,6.87,9.7
"672","Noctilio",7775,2.337814896,2,2.05,2.06,1.01,3.26
"673","Nomascus",8715,2.21243036499999,7,2.49,2.53,1.67,3.4
"674","Notiosorex",6256,7.0223127328,4,6.97,7.56,3.49,13
"675","Notocitellus",9082,3.07222296399996,2,4.62,4.67,2.81,6.57
"676","Notomys",10193,3.38548902289995,9,4.55,4.79,2.38,7.71
"677","Notopteris",8372,0.0373644965899871,2,0.94,1.67,0,5.76
"678","Notoryctes",11577,7.44065192799999,2,6.13,6.19,3.63,8.95
"679","Nyctalus",7342,7.58072773910001,8,7.52,7.59,5.55,9.78
"680","Nycteris",7093,15.166355724,16,20.3,22.93,13.07,40.03
"681","Nycticebus",8402,5.09904204099996,6,4.67,4.84,3.14,6.54
"682","Nycticeius",7545,10.791098572,3,3.75,5.51,0.06,16.76
"683","Nyctimene",8208,7.12234474220003,15,6.48,7.11,4.17,12.23
"684","Nyctinomops",7231,6.09568520129997,5,5.87,5.98,3.71,8.19
"685","Nyctophilus",7396,5.06705252310994,14,4.33,4.35,2.43,6.36
"686","Ochotona",11248,13.148207804,28,13.44,13.67,10.67,16.68
"687","Octodon",9465,4.81570616809995,4,3.55,3.61,2.22,5.25
"688","Odocoileus",6622,1.02649750469993,2,1.37,1.4,0.59,2.27
"689","Oecomys",10992,8.35429418133995,16,8.49,8.51,6.81,10.19
"690","Oenomys",9895,7.86079972649995,2,1.31,2.51,0,9.33
"691","Olallamys",9295,1.22648042769995,2,1.55,2.18,0.01,6.3
"692","Oligoryzomys",10900,8.67960709933996,20,7.74,7.76,6.11,9.46
"693","Onychogalea",11716,13.190433248,3,11.21,11.39,8.78,14.15
"694","Onychomys",10521,6.20444242799996,3,5.64,5.66,4.06,7.14
"695","Orcaella",6526,2.14841050821994,2,2.11,2.13,1.14,3.19
"696","Oreamnos",6767,0.893828676699997,2,1.56,2.01,0.01,5.21
"697","Orthogeomys",11188,6.30458719189991,11,6.12,6.14,4.72,7.52
"698","Oryx",6781,1.48605271659997,4,1.63,1.65,0.73,2.48
"699","Oryzomys",10938,6.04753761503997,7,4.68,4.99,3,7.88
"700","Oryzorictes",11436,2.78917953999999,2,5.76,8.4,0.07,25.15
"701","Otolemur",8425,1.79017384399998,2,2.51,2.55,1.56,3.6
"702","Otomops",7262,6.23285977379999,7,5.94,6.45,3.29,10.98
"703","Otomys",9866,11.7500589673999,26,8.94,9.18,7.01,11.33
"704","Otospermophilus",9077,3.23529412699997,3,2.32,2.36,1.43,3.36
"705","Ovis",6748,2.34059946419998,6,2.43,2.47,1.51,3.57
"706","Oxymycterus",10648,4.23707772619994,17,4.17,4.21,3.07,5.44
"707","Pan",8726,2.36688357799997,2,1.36,1.39,0.59,2.17
"708","Panthera",6906,3.30011719669997,5,3.69,3.72,2.68,4.8
"709","Papio",8822,1.79662450269996,5,2.03,2.04,1.44,2.75
"710","Pappogeomys",11199,0.181709881899934,2,1.4,1.77,0.01,4.53
"711","Paracrocidura",6187,4.14467484438998,3,3.78,4.08,1.49,7.65
"712","Paradoxurus",6794,2.02604957099993,4,3.09,3.13,1.83,4.35
"713","Paraechinus",6402,7.15889678699995,4,6.93,6.97,4.78,9.38
"714","Paraleptomys",9723,0.387566532999955,2,1.04,1.77,0.01,5.71
"715","Paramelomys",10213,5.30893961929996,9,6.18,6.04,2.49,9.2
"716","Paranyctimene",8222,1.15063160520003,2,1.82,2.94,0,9.77
"717","Paratriaenops",8099,1.697919947,3,1.83,3.13,0.47,10.91
"718","Paraxerus",8968,16.7614768711,11,15.29,15.36,12.32,18.53
"719","Parotomys",9867,8.62780697639991,2,8.79,8.69,6.79,10.39
"720","Pattonomys",9303,9.56035432259998,2,7.79,7.86,5.45,10.16
"721","Pedetes",9482,2.25056920399996,2,4.26,4.98,0.56,11.12
"722","Pelomys",9911,6.78449836159999,5,4.59,4.71,1.05,8.7
"723","Perameles",11586,9.038070702,4,7.99,8.01,5.84,10.23
"724","Perognathus",11222,10.5292440469999,9,10.43,10.51,8.07,13
"725","Peromyscus",10523,10.474720097,58,11.64,11.66,9.8,13.48
"726","Peropteryx",7137,14.131648634,5,13.94,14.03,10.42,17.72
"727","Peroryctes",11598,7.08014144200001,2,5.65,5.72,3.69,7.99
"728","Petaurillus",9144,4.30060546709998,3,1.75,1.87,0.15,3.75
"729","Petaurista",9160,11.845642402,18,8.89,9.05,6.41,11.69
"730","Petaurus",11813,17.546683937,6,5.87,7.38,2.89,16.87
"731","Petinomys",9135,3.86663053689998,9,3.34,3.34,1.72,5.12
"732","Petrogale",11737,7.79952110449997,16,6.16,6.19,4.62,8.04
"733","Petromyscus",11048,22.986592969,4,25.95,26.13,18.84,33.77
"734","Phacochoerus",6460,6.29274747049999,2,6.72,6.8,4.69,8.84
"735","Phalanger",11698,9.041333807,13,7.75,7.84,5.51,10.5
"736","Phaner",8476,3.36256656099997,4,4.66,5.89,0.31,15.11
"737","Phascogale",11658,9.0368007559,3,7.96,8.09,5.14,11.38
"738","Phascolosorex",11640,3.02025433630001,2,2.45,2.98,0.03,7.3
"739","Phataginus",7088,4.38168824399997,2,3.6,4,1.05,7.72
"740","Phenacomys",10306,3.25698409799995,2,2.97,3.03,1.64,4.52
"741","Philander",11560,7.99983930379992,7,5.91,5.99,4.27,8
"742","Philantomba",6715,2.63551234789998,3,3.51,3.56,2.13,5.15
"743","Phloeomys",9685,1.25655032467995,2,0.29,0.44,0,1.41
"744","Phoca",6994,0.724203762299965,2,0.71,0.73,0.2,1.23
"745","Phocoena",6516,3.28204321455996,4,3.09,3.11,2.05,4.25
"746","Phodopus",10452,7.74985591499998,3,10.4,10.42,7.61,12.99
"747","Phoniscus",7579,5.21861712469996,4,3.89,5.2,0.25,14.15
"748","Phyllomys",9308,8.93841639919995,13,5.34,5.48,3.73,7.36
"749","Phyllonycteris",7950,2.31427912310005,2,2.1,2.15,1.02,3.35
"750","Phyllostomus",7797,13.2012561486001,4,12.53,12.61,10.16,15.3
"751","Phyllotis",10846,10.4498248556,15,9.68,9.74,8.18,11.51
"752","Pipistrellus",7292,21.198257942,49,22.46,22.69,19.03,26.47
"753","Pithecheir",10256,1.75641958529997,2,1.01,1.7,0.01,5.62
"754","Pithecia",8579,8.26017063899994,16,5.97,6.19,3.33,9.33
"755","Plagiodontia",9392,1.05303768299993,2,1.03,1.74,0.01,6.01
"756","Planigale",11627,13.626153507,5,11.31,11.56,7.54,15.34
"757","Platyrrhinus",7836,5.25287742930004,19,5.13,5.19,3.81,6.53
"758","Plecotus",7476,7.74183364199996,11,11.06,11.12,8.38,13.93
"759","Podogymnura",6395,1.59979022299999,2,1.25,1.6,0.02,4.26
"760","Pogonomelomys",9971,11.9455070073999,3,2.24,3.08,0.06,8.73
"761","Pogonomys",10121,8.28530676059998,5,8.15,8.27,6.03,10.66
"762","Poiana",6815,0.138283057009943,2,0.57,0.63,0.02,1.43
"763","Pongo",8723,1.89386749299999,2,1.99,2.02,1.02,3.08
"764","Potamochoerus",6451,2.0679874384,2,1.57,1.62,0.67,2.71
"765","Potorous",11788,11.393172978,4,9.12,9.17,6.64,11.9
"766","Praomys",10022,13.6396380243999,17,13.59,13.67,11.78,15.85
"767","Presbytis",8757,5.26043620759995,11,4.75,4.81,3.54,6.21
"768","Prionailurus",6885,3.00919668089995,4,2.36,2.4,1.26,3.58
"769","Prionodon",6870,7.55750667999996,2,6.52,6.6,4.31,9.16
"770","Procapra",6681,1.08035859339995,3,1.55,1.59,0.61,2.68
"771","Procolobus",8777,5.85264229199996,7,5.46,5.53,3.7,7.25
"772","Procyon",7002,1.13295818129998,3,1.43,2.07,0.39,5.65
"773","Proechimys",9331,10.8508091551999,25,8.61,8.67,6.55,10.72
"774","Proedromys",10399,8.80523506809996,2,9.03,8.7,7.54,9.34
"775","Promops",7246,0.356318873799978,2,1.29,1.84,0.02,5.37
"776","Pronolagus",11277,11.136020072,4,10.91,11.02,7.82,14.57
"777","Propithecus",8434,4.19366284199995,9,4.66,4.81,3.31,6.43
"778","Prosciurillus",8923,3.84231946859998,5,3.22,3.33,0.72,5.93
"779","Protoxerus",8986,1.5899265061,2,1.11,1.81,0.01,6.03
"780","Psammomys",9527,5.40967004983997,2,5.07,5.09,3.3,6.91
"781","Pseudalopex",6929,2.67239987699995,6,2.76,2.8,1.86,3.88
"782","Pseudantechinus",11632,16.181939104,6,14.66,14.8,11.92,17.86
"783","Pseudocheirus",11809,1.78879250999998,2,3.05,4.27,0.03,12.42
"784","Pseudochirops",11795,12.505061136,5,11.09,11.36,7.93,14.69
