"","taxon","node","MCC_height","richness","heightMedian","heightMean","height_95._HPD_MIN","height_95._HPD_MAX"
"171","RHINOCEROTIDAE",6432,14.479129084,6,13.85,13.97,11.19,17.1
"172","RHINOLOPHIDAE",8004,11.673493783,87,13.65,14.17,10.4,18.79
"173","RHINOPOMATIDAE",7994,8.45654109,5,10.13,10.76,6.4,15.75
"174","SCIURIDAE",8888,36.145988525,290,30.37,30.44,25.39,35.92
"175","SOLENODONTIDAE",5922,5.297242082,3,5.75,10.9,0.15,39.59
"176","SORICIDAE",5969,48.009720323,414,46.7,47.21,39.51,55.16
"177","SPALACIDAE",9493,34.931717714,21,31.68,31.93,25.06,38.77
"178","SUIDAE",6448,6.57642892599998,18,7.82,9.23,5.04,19.3
"179","TACHYGLOSSIDAE",5914,7.25622071399997,4,17.08,18.74,5.35,36.71
"180","TALPIDAE",5925,43.568351067,44,40.74,40.55,32.77,47.67
"181","TAPIRIDAE",6428,11.412898804,5,11.3,11.38,8.74,14.22
"182","TARSIIDAE",8534,12.825027169,10,15.21,15.69,11.43,19.69
"183","TAYASSUIDAE",6446,5.08842855599997,3,6.23,6.33,3.65,9.01
"184","TENRECIDAE",11408,59.637889421,34,58.2,58.81,45.51,74
"185","THRYONOMYIDAE",9197,0.737108743999954,2,1.98,4.05,0.01,16.08
"186","THYLACOMYIDAE",11580,3.97660034999998,2,3.75,6.12,0.02,20.86
"187","THYROPTERIDAE",7770,10.569193593,5,7.13,9.22,3.47,23.38
"188","TRAGULIDAE",6561,21.9019088649999,10,23.48,23.68,18.28,29.41
"189","TRICHECHIDAE",11374,2.74851716800001,3,1.53,1.67,0.32,3.22
"190","TUPAIIDAE",8380,28.246173084,19,34.88,36.16,19.56,55.36
"191","URSIDAE",6950,7.86325149599995,11,9.99,10.07,7.72,12.71
"192","VESPERTILIONIDAE",7284,38.360191344,482,37.66,37.93,32.33,44.76
"193","VIVERRIDAE",6789,12.6286828029999,34,14.28,14.39,11.73,17.45
"194","VOMBATIDAE",11679,5.36168500599999,3,5.25,5.33,3.42,7.27
"195","ZIPHIIDAE",6470,23.4502457449999,21,24.81,25.91,15.24,38.58
"196","Abrawayaomys",10623,0.0249185280999598,2,1.03,1.94,0.01,6.52
"197","Abrocoma",9471,8.86387528399996,8,10.54,11.18,6.45,18.29
