"harmMeans" "medians" "means" "low95" "high95" "CIwidth"
"Chaeropus_ecaudatus" 0.0431256457995614 0.0422554708794112 0.0450108692649056 0.0339655889620818 0.069846982625055 0.0358813936629733
"Macrotis_lagotis" 0.0520145149300229 0.053442636072744 0.0542158152496897 0.0366720790273595 0.0779986717523119 0.0413265927249524
"Macrotis_leucura" 0.0520145149300229 0.053442636072744 0.0542158152496897 0.0366720790273595 0.0779986717523119 0.0413265927249524
"Echymipera_clara" 0.0841713813729851 0.0863548486846911 0.0919223074368779 0.0523063231723608 0.159467001635542 0.107160678463182
"Echymipera_echinista" 0.0841713813729851 0.0863548486846911 0.0919223074368779 0.0523063231723608 0.159467001635542 0.107160678463182
"Rhynchomeles_prattorum" 0.0856588343804135 0.0892822243868036 0.0938936508301682 0.0517591416105174 0.162734387727186 0.110975246116668
"Echymipera_rufescens" 0.101644942742266 0.106886304311906 0.110242329876441 0.0605084865387232 0.175497583323348 0.114989096784625
"Echymipera_kalubu" 0.113177216072126 0.118948747412435 0.121074770746451 0.0694768346836814 0.185493605370568 0.116016770686886
"Echymipera_davidi" 0.113177216072126 0.118948747412435 0.121074770746451 0.0694768346836814 0.185493605370568 0.116016770686886
"Microperoryctes_murina" 0.0862420083331237 0.0905368824383191 0.094848833067884 0.050055572204739 0.163798389482914 0.113742817278175
"Microperoryctes_longicauda" 0.0857152704119828 0.0916989589344173 0.0944463960556869 0.0497982470218966 0.163056814524431 0.113258567502534
"Microperoryctes_aplini" 0.0865128903410166 0.0908995725566406 0.094932454313541 0.0498313720949467 0.15860689092282 0.108775518827873
"Microperoryctes_papuensis" 0.0861532347153854 0.0913158132004648 0.0949141218711456 0.0493748234368909 0.162296524091964 0.112921700655074
"Peroryctes_broadbenti" 0.0730136835252738 0.0758000446473747 0.0795076876757923 0.0437438260791712 0.134782346846661 0.0910385207674897
"Peroryctes_raffrayana" 0.0843486409296483 0.0876107070044441 0.0906442275769112 0.0513160053531612 0.144786093189916 0.0934700878367548
"Peroryctes_SP_NOW" 0.0843486409296483 0.0876107070044441 0.0906442275769112 0.0513160053531612 0.144786093189916 0.0934700878367548
"Peroryctinae_GEN_NOW" 0.0592931448613854 0.0602729642241903 0.0640566268475378 0.0391073827526347 0.109952519043465 0.0708451362908298
"Isoodon_obesulus" 0.0736206120427335 0.0758703437492523 0.0788822831637077 0.0460601627652404 0.129661417872971 0.0836012551077301
"Isoodon_auratus" 0.0736206120427335 0.0758703437492523 0.0788822831637077 0.0460601627652404 0.129661417872971 0.0836012551077301
"Isoodon_macrourus" 0.0621833643480058 0.0634953024169618 0.0673799584125679 0.039729663456438 0.118248340492546 0.0785186770361083
"Perameles_gunnii" 0.0751864254729244 0.0772025182029507 0.0812517913682579 0.0458563342736432 0.136142789892858 0.0902864556192144
"Perameles_nasuta" 0.0856079201283922 0.0888909851688094 0.0915686498984258 0.0529543152768158 0.143067378050902 0.090113062774086
"Perameles_eremiana" 0.0856079201283922 0.0888909851688094 0.0915686498984258 0.0529543152768158 0.143067378050902 0.090113062774086
"Perameles_bougainville" 0.0614253421515537 0.0625787891181484 0.066635790820971 0.0402818510011801 0.121795907433534 0.0815140564323542
"Murexia_melanurus" 0.116219981676006 0.116219981676006 0.116219981676006 0.116219981676006 0.116219981676006 0
"Murexia_longicaudata" 0.155318757820987 0.155318757820987 0.155318757820987 0.155318757820987 0.155318757820987 0
"Murexia_naso" 0.155318757820987 0.155318757820987 0.155318757820987 0.155318757820987 0.155318757820987 0
"Murexia_habbema" 0.139794204367356 0.139794204367356 0.139794204367356 0.139794204367356 0.139794204367356 0
"Murexia_rothschildi" 0.139794204367356 0.139794204367356 0.139794204367356 0.139794204367356 0.139794204367356 0
"Antechinus_swainsonii" 0.116360625345359 0.116360625345359 0.116360625345359 0.116360625345359 0.116360625345359 0
"Antechinus_minimus" 0.130115619565527 0.130115619565527 0.130115619565527 0.130115619565527 0.130115619565527 0
"Antechinus_subtropicus" 0.130115619565527 0.130115619565527 0.130115619565527 0.130115619565527 0.130115619565527 0
"Antechinus_flavipes" 0.12314478719006 0.12314478719006 0.12314478719006 0.12314478719006 0.12314478719006 0
"Antechinus_bellus" 0.158591142842006 0.158591142842006 0.158591142842006 0.158591142842006 0.158591142842006 0
"Antechinus_leo" 0.204774423095062 0.204774423095062 0.204774423095062 0.204774423095062 0.204774423095062 0
"Antechinus_agilis" 0.204774423095062 0.204774423095062 0.204774423095062 0.204774423095062 0.204774423095062 0
"Antechinus_stuartii" 0.147628226094636 0.147628226094636 0.147628226094636 0.147628226094636 0.147628226094636 0
"Antechinus_adustus" 0.147628226094636 0.147628226094636 0.147628226094636 0.147628226094636 0.147628226094636 0
"Antechinus_godmani" 0.0876710608811814 0.0876710608811814 0.0876710608811814 0.0876710608811814 0.0876710608811814 0
"Phascogale_tapoatafa" 0.159775571722102 0.159775571722102 0.159775571722102 0.159775571722102 0.159775571722102 0
"Phascogale_pirata" 0.159775571722102 0.159775571722102 0.159775571722102 0.159775571722102 0.159775571722102 0
"Phascogale_calura" 0.144588506698852 0.144588506698852 0.144588506698852 0.144588506698852 0.144588506698852 0
"Dasycercus_cristicauda" 0.101917289112609 0.101917289112609 0.101917289112609 0.101917289112609 0.101917289112609 0
"Dasycercus_blythi" 0.101917289112609 0.101917289112609 0.101917289112609 0.101917289112609 0.101917289112609 0
"Dasykaluta_rosamondae" 0.0973991700966797 0.0973991700966797 0.0973991700966797 0.0973991700966797 0.0973991700966797 0
