GHR,KC878172,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
GHR,KC878173,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
GHR,KC878175,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
GHR,KC878176,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
GHR,KC878177,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
GHR,KC878180,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
GHR,KC878183,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
GHR,KC878186,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
GHR,KC878187,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
GHR,KC878195,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
GHR,KC878196,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
GHR,KC878200,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
IRBP,KC878202,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
IRBP,KC878203,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
IRBP,KC878213,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
IRBP,KC878214,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
IRBP,KC878217,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
IRBP,KC878225,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
IRBP,KC878226,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
IRBP,KC878228,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
IRBP,KC878237,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
IRBP,KC878238,"Achmadi,A.S.|Esselstyn,J.A.|Rowe,K.C.|Maryanto,I.|Abdullah,M.T."
GHR,M82912,"Adams,T.E.|Baker,L.|Fiddes,R.J.|Brandon,M.R."
BRCA1,AF332044,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
BRCA1,AF332045,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
BRCA1,AF332046,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
BRCA1,AF332048,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332011,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332012,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332013,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332014,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332016,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332017,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332019,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332020,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332021,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332022,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332023,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332024,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332025,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332026,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332027,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332028,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332029,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332030,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332031,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332032,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332033,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332034,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332035,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332036,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332041,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF332042,"Adkins,R.M.|Gelke,E.L.|Rowe,D.|Honeycutt,R.L."
GHR,AF238491,"Adkins,R.M.|Vandeberg,J.|Li,W.H."
BRCA1,AF540622,"Adkins,R.M.|Walton,A.H.|Honeycutt,R.L."
BRCA1,AF540624,"Adkins,R.M.|Walton,A.H.|Honeycutt,R.L."
BRCA1,AF540629,"Adkins,R.M.|Walton,A.H.|Honeycutt,R.L."
BRCA1,AF540634,"Adkins,R.M.|Walton,A.H.|Honeycutt,R.L."
BRCA1,AF540636,"Adkins,R.M.|Walton,A.H.|Honeycutt,R.L."
BRCA1,AF540637,"Adkins,R.M.|Walton,A.H.|Honeycutt,R.L."
BRCA1,AF540638,"Adkins,R.M.|Walton,A.H.|Honeycutt,R.L."
