Order,Family,Genus,Species,Binomial name,Extinct or extant,Island endemicity: Strict definition,IslandEndemic_strict,Island endemicity: Classical definition,IslandEndemic_classic,,,,,,,,,,,
RODENTIA,CAPROMYIDAE,Mysateles,melanurus,Mysateles_melanurus,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CAPROMYIDAE,Mysateles,meridionalis,Mysateles_meridionalis,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CAPROMYIDAE,Mysateles,prehensilis,Mysateles_prehensilis,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CAPROMYIDAE,Plagiodontia,aedium,Plagiodontia_aedium,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CAPROMYIDAE,Plagiodontia,ipnaeum,Plagiodontia_ipnaeum,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CAPROMYIDAE,Quemisia,gravis,Quemisia_gravis,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CAPROMYIDAE,Rhizoplagiodontia,lemkei,Rhizoplagiodontia_lemkei,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CAPROMYIDAE,Xaymaca,fulvopulvis,Xaymaca_fulvopulvis,Extinct,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
RODENTIA,CAVIIDAE,Cavia,intermedia,Cavia_intermedia,Extant,Not occuring on any landbridge island larger than 1000 km2,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Macaca,cyclopis,Macaca_cyclopis,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Macaca,fuscata,Macaca_fuscata,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Macaca,hecki,Macaca_hecki,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Macaca,maura,Macaca_maura,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Macaca,nigra,Macaca_nigra,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Macaca,nigrescens,Macaca_nigrescens,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Macaca,ochreata,Macaca_ochreata,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Macaca,pagensis,Macaca_pagensis,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Macaca,siberu,Macaca_siberu,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Macaca,sinica,Macaca_sinica,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Macaca,tonkeana,Macaca_tonkeana,Extant,Endemic to strictly defined islands,1,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Nasalis,larvatus,Nasalis_larvatus,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Presbytis,chrysomelas,Presbytis_chrysomelas,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Presbytis,comata,Presbytis_comata,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Presbytis,frontata,Presbytis_frontata,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Presbytis,hosei,Presbytis_hosei,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Presbytis,melalophos,Presbytis_melalophos,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
PRIMATES,CERCOPITHECIDAE,Presbytis,natunae,Presbytis_natunae,Extant,Not endemic to strictly defined islands,0,Endemic to classically defined islands,1,,,,,,,,,,,
