"harmMeans" "medians" "means" "low95" "high95" "CIwidth"
"Tachyglossus_aculeatus" 0.0178955039124815 0.0178967156771053 0.0178988437650651 0.017407507806197 0.0183852150763189 0.000977707270121933
"Zaglossus_bruijni" 0.0181102404351636 0.0181079590394512 0.0181140443317595 0.0175813024496208 0.0186788142962334 0.00109751184661262
"Zaglossus_bartoni" 0.0181102404351636 0.0181079590394512 0.0181140443317595 0.0175813024496208 0.0186788142962334 0.00109751184661262
"Ornithorhynchus_anatinus" 0.0115299129469393 0.0114974675897638 0.0115594177646534 0.010444041890086 0.0127649268144106 0.00232088492432463
"Anomalurus_pusillus" 0.0438070660058951 0.046268739808125 0.0455666918137521 0.0319520083863985 0.0624771449362687 0.0305251365498702
"Anomalurus_pelii" 0.0433374544687359 0.0454138972426888 0.0451850590424813 0.0316544607151862 0.0615327842162155 0.0298783235010293
"Anomalurus_beecrofti" 0.0437187021650663 0.0461621129698484 0.0455844273369237 0.0313870812371912 0.062329989563454 0.0309429083262627
"Anomalurus_derbianus" 0.044690550453428 0.0473662046624222 0.0464754716040862 0.032111501191116 0.0625964791934035 0.0304849780022875
"Zenkerella_insignis" 0.0360145743231122 0.0359960204256872 0.0360489497490088 0.0342237053178563 0.0383688411870178 0.00414513586916157
"Idiurus_macrotis" 0.0400148757635092 0.0400143209579012 0.0400377880790601 0.0382725873433333 0.0418571355582604 0.00358454821492712
"Idiurus_zenkeri" 0.0400148757635092 0.0400143209579012 0.0400377880790601 0.0382725873433333 0.0418571355582604 0.00358454821492712
"Pedetes_capensis" 0.0292173153090481 0.0291566043335476 0.0293188771911289 0.0261280092515551 0.0329674152572727 0.00683940600571755
"Pedetes_surdaster" 0.0292173153090481 0.0291566043335476 0.0293188771911289 0.0261280092515551 0.0329674152572727 0.00683940600571755
"Allactaga_elater" 0.0764983431826866 0.0814229184622839 0.0855916120086955 0.0407917178211045 0.147485732666552 0.106694014845447
"Allactaga_hotsoni" 0.0752045704549443 0.0804904282113677 0.0832111949056342 0.0406370829416288 0.140074244831642 0.0994371618900135
"Allactaga_firouzi" 0.0817658183228643 0.0882896674821146 0.0898059906511343 0.0431000248650674 0.141100121687278 0.0980000968222104
"Allactaga_severtzovi" 0.0725749666008551 0.0802293356268022 0.0805461949678112 0.0372617751883323 0.132763187356292 0.0955014121679593
"Allactaga_tetradactyla" 0.0784612124409798 0.0842157620999322 0.0862368997307211 0.0422767216894794 0.144509885669759 0.102233163980279
"Allactaga_bullata" 0.0766481806216633 0.0837429013925433 0.0863631915717626 0.036957315587059 0.142257590165457 0.105300274578398
"Allactaga_balikunica" 0.0827247735637406 0.0904923341688539 0.0910785379071814 0.0428976969831848 0.144199066615671 0.101301369632486
"Allactaga_sibirica" 0.0773649051725677 0.0826103051126374 0.0860207985078591 0.0409209552862017 0.14123771586896 0.100316760582758
"Allactaga_euphratica" 0.0711458627938309 0.0727958992343868 0.0723983481381278 0.055178135288239 0.0890336123904699 0.0338554771022309
"Allactaga_williamsi" 0.0711458627938309 0.0727958992343868 0.0723983481381278 0.055178135288239 0.0890336123904699 0.0338554771022309
"Allactaga_major" 0.0779741128540184 0.0847633730787721 0.0864304757057854 0.0385415686334371 0.142357944333167 0.10381637569973
"Allactaga_vinogradovi" 0.0749475410364765 0.0805999686787703 0.0838817594032953 0.0387203312559973 0.142551073561816 0.103830742305819
"Jaculus_blanfordi" 0.0882664974104665 0.0886220081575853 0.0913604300848493 0.0654754886088977 0.129024772930275 0.063549284321377
"Jaculus_jaculus" 0.0899283710201122 0.0920722560473747 0.0927583267469245 0.0651190214516988 0.126472512318999 0.0613534908673005
"Jaculus_orientalis" 0.0917400916060124 0.0950580580945078 0.0947539483190464 0.065256807931473 0.128573392745962 0.0633165848144888
"Dipus_sagitta" 0.0799761995337126 0.0816039525102484 0.0844700405073688 0.0508041781128416 0.126513265472821 0.0757090873599794
"Eremodipus_lichtensteini" 0.0809416460610489 0.0824974987329858 0.0852153270387119 0.0500538696488822 0.126513265472821 0.0764593958239388
"Stylodipus_andrewsi" 0.0918866809631633 0.0936311987153697 0.0949229764417111 0.067270183046792 0.131173090700478 0.063902907653686
"Stylodipus_telum" 0.0915064108801169 0.0935371922343902 0.094597414494603 0.066762761683216 0.130837890491416 0.0640751288081999
"Stylodipus_sungorus" 0.0928267102938022 0.0936847616307731 0.0958579092649972 0.0683311394454186 0.13240859077256 0.0640774513271413
"Paradipus_ctenodactylus" 0.0513101368842143 0.0551585464570778 0.0574624986818789 0.0283207931168392 0.101591169365585 0.0732703762487457
"Cardiocranius_paradoxus" 0.0441388377830743 0.0442061102080606 0.0442493925943239 0.0399505518975122 0.0494185275030289 0.00946797560551671
"Salpingotus_heptneri" 0.0820086088426983 0.086084320411603 0.0875845646873076 0.047665498086983 0.137232440591135 0.0895669425041516
"Salpingotus_kozlovi" 0.075368657368522 0.0805290546078315 0.080647865280779 0.0471835041000509 0.12781721614737 0.0806337120473188
"Salpingotulus_michaelis" 0.0798738223899775 0.0840938986082855 0.0862015679148933 0.0465819150557974 0.134462484015053 0.0878805689592554
