"harmMeans" "medians" "means" "low95" "high95" "CIwidth"
"Chaeropus_ecaudatus" 0.0428360289481861 0.0419773859674847 0.044679897149743 0.0337856808123243 0.0690904201595406 0.0353047393472163
"Macrotis_lagotis" 0.0515937873572293 0.0529985865476573 0.053740206247925 0.0364624456905262 0.0770564022448482 0.040593956554322
"Macrotis_leucura" 0.0515937873572293 0.0529985865476573 0.053740206247925 0.0364624456905262 0.0770564022448482 0.040593956554322
"Echymipera_clara" 0.0825615113093105 0.0849044724256019 0.089722758264205 0.0517346610002331 0.151769963008334 0.1000353020081
"Echymipera_echinista" 0.0825615113093105 0.0849044724256019 0.089722758264205 0.0517346610002331 0.151769963008334 0.1000353020081
"Rhynchomeles_prattorum" 0.0839921265601688 0.0874550631532922 0.0916011391618438 0.0511989419973758 0.157121563308938 0.105922621311563
"Echymipera_rufescens" 0.0993065765590212 0.10423277684255 0.107166351005004 0.0597196144846214 0.167219171981674 0.107499557497052
"Echymipera_kalubu" 0.110285691331519 0.115750704611764 0.117425875989015 0.0683611226572916 0.176330326733568 0.107969204076277
"Echymipera_davidi" 0.110285691331519 0.115750704611764 0.117425875989015 0.0683611226572916 0.176330326733568 0.107969204076277
"Microperoryctes_murina" 0.0845527528053955 0.0886228831964262 0.0924972730221518 0.0496056432063896 0.156491426119057 0.106885782912667
"Microperoryctes_longicauda" 0.0840463870529795 0.0898363906607252 0.0921196724822508 0.0493459510132267 0.155335946040541 0.105989995027314
"Microperoryctes_aplini" 0.0848131109823664 0.0891987041221557 0.0925961068018007 0.04934375151879 0.151274399063749 0.101930647544959
"Microperoryctes_papuensis" 0.0844674210940534 0.0892008352811604 0.0925649075856812 0.0489816112708866 0.155366435269643 0.106384823998756
"Peroryctes_broadbenti" 0.0617943026078282 0.0620287627052797 0.0652803053029471 0.0414750211646537 0.104174657182948 0.0626996360182938
"Peroryctes_raffrayana" 0.0617940105943172 0.0620287627052797 0.0652800791216634 0.04148031115259 0.104178754820819 0.0626984436682286
"Isoodon_obesulus" 0.0726581115770943 0.0748513326585874 0.0776680418112365 0.0456750022124156 0.126457082870253 0.0807820806578371
"Isoodon_auratus" 0.0726581115770943 0.0748513326585874 0.0776680418112365 0.0456750022124156 0.126457082870253 0.0807820806578371
"Isoodon_macrourus" 0.0614952929449555 0.0627412451492979 0.0664777224898341 0.039458133146162 0.115708910698018 0.0762507775518559
"Perameles_gunnii" 0.0741828264428468 0.0761275360106255 0.0799524753872867 0.045484897151262 0.132454733844899 0.0869698366936369
"Perameles_nasuta" 0.0843092272084643 0.0875415342034941 0.0899474811873451 0.0524071157705993 0.139312029658622 0.0869049138880228
"Perameles_eremiana" 0.0843092272084643 0.0875415342034941 0.0899474811873451 0.0524071157705993 0.139312029658622 0.0869049138880228
"Perameles_bougainville" 0.0607538532628041 0.061899281737322 0.0657437262438294 0.0400224750943563 0.11901870986132 0.0789962347669641
"Murexia_melanurus" 0.115721811063779 0.115721811063779 0.115721811063779 0.115721811063779 0.115721811063779 0
"Murexia_longicaudata" 0.154430296564846 0.154430296564846 0.154430296564846 0.154430296564846 0.154430296564846 0
"Murexia_naso" 0.154430296564846 0.154430296564846 0.154430296564846 0.154430296564846 0.154430296564846 0
"Murexia_habbema" 0.139074063610081 0.139074063610081 0.139074063610081 0.139074063610081 0.139074063610081 0
"Murexia_rothschildi" 0.139074063610081 0.139074063610081 0.139074063610081 0.139074063610081 0.139074063610081 0
"Antechinus_swainsonii" 0.115861250871122 0.115861250871122 0.115861250871122 0.115861250871122 0.115861250871122 0
"Antechinus_minimus" 0.129491521483896 0.129491521483896 0.129491521483896 0.129491521483896 0.129491521483896 0
"Antechinus_subtropicus" 0.129491521483896 0.129491521483896 0.129491521483896 0.129491521483896 0.129491521483896 0
"Antechinus_flavipes" 0.122585625178309 0.122585625178309 0.122585625178309 0.122585625178309 0.122585625178309 0
"Antechinus_bellus" 0.157664961139832 0.157664961139832 0.157664961139832 0.157664961139832 0.157664961139832 0
"Antechinus_leo" 0.203232893766193 0.203232893766193 0.203232893766193 0.203232893766193 0.203232893766193 0
"Antechinus_agilis" 0.203232893766193 0.203232893766193 0.203232893766193 0.203232893766193 0.203232893766193 0
"Antechinus_stuartii" 0.146825342647582 0.146825342647582 0.146825342647582 0.146825342647582 0.146825342647582 0
"Antechinus_adustus" 0.146825342647582 0.146825342647582 0.146825342647582 0.146825342647582 0.146825342647582 0
"Antechinus_godmani" 0.0873872777655829 0.0873872777655829 0.0873872777655829 0.0873872777655829 0.0873872777655829 0
"Phascogale_tapoatafa" 0.158835545089899 0.158835545089899 0.158835545089899 0.158835545089899 0.158835545089899 0
"Phascogale_pirata" 0.158835545089899 0.158835545089899 0.158835545089899 0.158835545089899 0.158835545089899 0
"Phascogale_calura" 0.143818259935284 0.143818259935284 0.143818259935284 0.143818259935284 0.143818259935284 0
"Dasycercus_cristicauda" 0.101533986849996 0.101533986849996 0.101533986849996 0.101533986849996 0.101533986849996 0
"Dasycercus_blythi" 0.101533986849996 0.101533986849996 0.101533986849996 0.101533986849996 0.101533986849996 0
"Dasykaluta_rosamondae" 0.0970490406937621 0.0970490406937621 0.0970490406937621 0.0970490406937621 0.0970490406937621 0
"Pseudantechinus_ningbing" 0.098195729928996 0.098195729928996 0.098195729928996 0.098195729928996 0.098195729928996 0
"Pseudantechinus_macdonnellensis" 0.127533524464784 0.127533524464784 0.127533524464784 0.127533524464784 0.127533524464784 0
"Pseudantechinus_roryi" 0.165085272301148 0.165085272301148 0.165085272301148 0.165085272301148 0.165085272301148 0
